Frequenza,Territorio,Indicatore,Localizzazione dell incidente,Intersezione,Natura dell incidente,Esito,Ruolo,Età,Sesso,Mese,TIME_PERIOD,Osservazione
Annuale,Italia,Morti e feriti,Totale,Rotatoria,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2020,1
Annuale,Italia,Morti e feriti,Totale,Rotatoria,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2021,2
Annuale,Italia,Morti e feriti,Totale,Rotatoria,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2023,3
Annuale,Italia,Morti e feriti,Totale,Rettilineo,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2010,92
Annuale,Italia,Morti e feriti,Totale,Rettilineo,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2011,102
Annuale,Italia,Morti e feriti,Totale,Rettilineo,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2012,89
Annuale,Italia,Morti e feriti,Totale,Rettilineo,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2013,82
Annuale,Italia,Morti e feriti,Totale,Rettilineo,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2014,96
Annuale,Italia,Morti e feriti,Totale,Rettilineo,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2015,95
Annuale,Italia,Morti e feriti,Totale,Rettilineo,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2016,66
Annuale,Italia,Morti e feriti,Totale,Rettilineo,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2017,70
Annuale,Italia,Morti e feriti,Totale,Rettilineo,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2018,60
Annuale,Italia,Morti e feriti,Totale,Rettilineo,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2019,72
Annuale,Italia,Morti e feriti,Totale,Rettilineo,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2020,66
Annuale,Italia,Morti e feriti,Totale,Rettilineo,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2021,69
Annuale,Italia,Morti e feriti,Totale,Rettilineo,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2022,69
Annuale,Italia,Morti e feriti,Totale,Rettilineo,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2023,74
Annuale,Italia,Morti e feriti,Totale,Curva,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2010,58
Annuale,Italia,Morti e feriti,Totale,Curva,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2011,51
Annuale,Italia,Morti e feriti,Totale,Curva,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2012,48
Annuale,Italia,Morti e feriti,Totale,Curva,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2013,46
Annuale,Italia,Morti e feriti,Totale,Curva,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2014,45
Annuale,Italia,Morti e feriti,Totale,Curva,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2015,44
Annuale,Italia,Morti e feriti,Totale,Curva,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2016,41
Annuale,Italia,Morti e feriti,Totale,Curva,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2017,36
Annuale,Italia,Morti e feriti,Totale,Curva,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2018,38
Annuale,Italia,Morti e feriti,Totale,Curva,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2019,42
Annuale,Italia,Morti e feriti,Totale,Curva,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2020,23
Annuale,Italia,Morti e feriti,Totale,Curva,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2021,40
Annuale,Italia,Morti e feriti,Totale,Curva,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2022,27
Annuale,Italia,Morti e feriti,Totale,Curva,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2023,38
Annuale,Italia,Morti e feriti,Totale,Dosso - pendenza - strettoia,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2010,2
Annuale,Italia,Morti e feriti,Totale,Dosso - pendenza - strettoia,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2011,7
Annuale,Italia,Morti e feriti,Totale,Dosso - pendenza - strettoia,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2012,2
Annuale,Italia,Morti e feriti,Totale,Dosso - pendenza - strettoia,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2013,4
Annuale,Italia,Morti e feriti,Totale,Dosso - pendenza - strettoia,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2014,2
Annuale,Italia,Morti e feriti,Totale,Dosso - pendenza - strettoia,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2015,3
Annuale,Italia,Morti e feriti,Totale,Dosso - pendenza - strettoia,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2016,5
Annuale,Italia,Morti e feriti,Totale,Dosso - pendenza - strettoia,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2017,1
Annuale,Italia,Morti e feriti,Totale,Dosso - pendenza - strettoia,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2018,2
Annuale,Italia,Morti e feriti,Totale,Dosso - pendenza - strettoia,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2019,3
Annuale,Italia,Morti e feriti,Totale,Dosso - pendenza - strettoia,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2020,2
Annuale,Italia,Morti e feriti,Totale,Dosso - pendenza - strettoia,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2021,4
Annuale,Italia,Morti e feriti,Totale,Dosso - pendenza - strettoia,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2022,3
Annuale,Italia,Morti e feriti,Totale,Dosso - pendenza - strettoia,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2023,1
Annuale,Italia,Morti e feriti,Totale,Galleria,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2010,1
Annuale,Italia,Morti e feriti,Totale,Galleria,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2011,1
Annuale,Italia,Morti e feriti,Totale,Galleria,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2012,1
Annuale,Italia,Morti e feriti,Totale,Galleria,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2013,1
Annuale,Italia,Morti e feriti,Totale,Galleria,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2015,1
Annuale,Italia,Morti e feriti,Totale,Galleria,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2016,1
Annuale,Italia,Morti e feriti,Totale,Galleria,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2017,1
Annuale,Italia,Morti e feriti,Totale,Galleria,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2020,3
Annuale,Italia,Morti e feriti,Totale,Galleria,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2021,1
Annuale,Italia,Morti e feriti,Totale,Totale,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2010,215
Annuale,Italia,Morti e feriti,Totale,Totale,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2011,210
Annuale,Italia,Morti e feriti,Totale,Totale,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2012,184
Annuale,Italia,Morti e feriti,Totale,Totale,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2013,161
Annuale,Italia,Morti e feriti,Totale,Totale,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2014,182
Annuale,Italia,Morti e feriti,Totale,Totale,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2015,168
Annuale,Italia,Morti e feriti,Totale,Totale,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2016,146
Annuale,Italia,Morti e feriti,Totale,Totale,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2017,136
Annuale,Italia,Morti e feriti,Totale,Totale,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2018,124
Annuale,Italia,Morti e feriti,Totale,Totale,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2019,132
Annuale,Italia,Morti e feriti,Totale,Totale,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2020,110
Annuale,Italia,Morti e feriti,Totale,Totale,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2021,132
Annuale,Italia,Morti e feriti,Totale,Totale,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2022,120
Annuale,Italia,Morti e feriti,Totale,Totale,Totale,Morto,Conducente,21-24 anni,Totale,Totale,2023,126
